,中欧新蓝筹A,,,中欧消费主题A,,,中欧成长,,,中欧医疗健康A,,,中欧强债
,166002.OF,,,002621.OF,,,166006.OF,,,003095.OF,,,166008.SZ
日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值
Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj
2019-06-12,4.122650,,2019-06-12,1.526000,,2019-06-12,1.488408,,2019-06-12,1.384700,,2019-06-12,1.674444
2019-06-13,4.136415,,2019-06-13,1.538000,,2019-06-13,1.487574,,2019-06-13,1.401548,,2019-06-13,1.674135
2019-06-14,4.086057,,2019-06-14,1.512000,,2019-06-14,1.477576,,2019-06-14,1.398389,,2019-06-14,1.673361
2019-06-17,4.073635,,2019-06-17,1.506000,,2019-06-17,1.465216,,2019-06-17,1.385753,,2019-06-17,1.673670
2019-06-18,4.128022,,2019-06-18,1.541000,,2019-06-18,1.478548,,2019-06-18,1.400495,,2019-06-18,1.673515
2019-06-19,4.170323,,2019-06-19,1.553000,,2019-06-19,1.503267,,2019-06-19,1.413131,,2019-06-19,1.674290
2019-06-20,4.241495,,2019-06-20,1.558000,,2019-06-20,1.539095,,2019-06-20,1.447881,,2019-06-20,1.675528
2019-06-21,4.220345,,2019-06-21,1.541000,,2019-06-21,1.538123,,2019-06-21,1.447881,,2019-06-21,1.675683
2019-06-24,4.223702,,2019-06-24,1.553000,,2019-06-24,1.545622,,2019-06-24,1.455252,,2019-06-24,1.676458
2019-06-25,4.193487,,2019-06-25,1.530000,,2019-06-25,1.540067,,2019-06-25,1.453146,,2019-06-25,1.676303
2019-06-26,4.247874,,2019-06-26,1.545000,,2019-06-26,1.558537,,2019-06-26,1.502637,,2019-06-26,1.677077
2019-06-27,4.326768,,2019-06-27,1.554000,,2019-06-27,1.582978,,2019-06-27,1.518432,,2019-06-27,1.677387
2019-06-28,4.332476,,2019-06-28,1.561000,,2019-06-28,1.582700,,2019-06-28,1.508955,,2019-06-28,1.677696
2019-07-01,4.462064,,2019-07-01,1.604000,,2019-07-01,1.637276,,2019-07-01,1.542651,,2019-07-01,1.678935
2019-07-02,4.490936,,2019-07-02,1.637000,,2019-07-02,1.640192,,2019-07-02,1.562658,,2019-07-02,1.680019
2019-07-03,4.415734,,2019-07-03,1.609000,,2019-07-03,1.604503,,2019-07-03,1.526856,,2019-07-03,1.680794
2019-07-04,4.356312,,2019-07-04,1.576000,,2019-07-04,1.580339,,2019-07-04,1.494213,,2019-07-04,1.681568
2019-07-05,4.426813,,2019-07-05,1.609000,,2019-07-05,1.603808,,2019-07-05,1.523697,,2019-07-05,1.681413
2019-07-08,4.397605,,2019-07-08,1.595000,,2019-07-08,1.571174,,2019-07-08,1.488948,,2019-07-08,1.681413
2019-07-09,4.394920,,2019-07-09,1.600000,,2019-07-09,1.570896,,2019-07-09,1.495266,,2019-07-09,1.681568
2019-07-10,4.375448,,2019-07-10,1.596000,,2019-07-10,1.572424,,2019-07-10,1.497372,,2019-07-10,1.681878
2019-07-11,4.382162,,2019-07-11,1.586000,,2019-07-11,1.565480,,2019-07-11,1.496319,,2019-07-11,1.682034
2019-07-12,4.388877,,2019-07-12,1.589000,,2019-07-12,1.581173,,2019-07-12,1.498425,,2019-07-12,1.682661
2019-07-15,4.461057,,2019-07-15,1.620000,,2019-07-15,1.592560,,2019-07-15,1.483683,,2019-07-15,1.682974
2019-07-16,4.452664,,2019-07-16,1.606000,,2019-07-16,1.576868,,2019-07-16,1.461570,,2019-07-16,1.683131
2019-07-17,4.453335,,2019-07-17,1.614000,,2019-07-17,1.575618,,2019-07-17,1.453146,,2019-07-17,1.683131
2019-07-18,4.417413,,2019-07-18,1.604000,,2019-07-18,1.561870,,2019-07-18,1.432085,,2019-07-18,1.682661
2019-07-19,4.446621,,2019-07-19,1.609000,,2019-07-19,1.572979,,2019-07-19,1.438403,,2019-07-19,1.682974
2019-07-22,4.415399,,2019-07-22,1.589000,,2019-07-22,1.571035,,2019-07-22,1.438403,,2019-07-22,1.683914
2019-07-23,4.432520,,2019-07-23,1.603000,,2019-07-23,1.581589,,2019-07-23,1.438403,,2019-07-23,1.684384
2019-07-24,4.487243,,2019-07-24,1.613000,,2019-07-24,1.591032,,2019-07-24,1.448934,,2019-07-24,1.684697
2019-07-25,4.534580,,2019-07-25,1.631000,,2019-07-25,1.606308,,2019-07-25,1.446827,,2019-07-25,1.685011
2019-07-26,4.542637,,2019-07-26,1.633000,,2019-07-26,1.615057,,2019-07-26,1.477365,,2019-07-26,1.685637
2019-07-29,4.578559,,2019-07-29,1.647000,,2019-07-29,1.623250,,2019-07-29,1.463676,,2019-07-29,1.685794
2019-07-30,4.579902,,2019-07-30,1.646000,,2019-07-30,1.625194,,2019-07-30,1.464729,,2019-07-30,1.686107
2019-07-31,4.544651,,2019-07-31,1.632000,,2019-07-31,1.612418,,2019-07-31,1.456305,,2019-07-31,1.687047
2019-08-01,4.536258,,2019-08-01,1.634000,,2019-08-01,1.600892,,2019-08-01,1.449987,,2019-08-01,1.687987
2019-08-02,4.521822,,2019-08-02,1.632000,,2019-08-02,1.593949,,2019-08-02,1.462623,,2019-08-02,1.689554
2019-08-05,4.482207,,2019-08-05,1.614000,,2019-08-05,1.572146,,2019-08-05,1.435244,,2019-08-05,1.690964
2019-08-06,4.471464,,2019-08-06,1.601000,,2019-08-06,1.568536,,2019-08-06,1.438403,,2019-08-06,1.691277
2019-08-07,4.472471,,2019-08-07,1.594000,,2019-08-07,1.558259,,2019-08-07,1.464729,,2019-08-07,1.692060
2019-08-08,4.539615,,2019-08-08,1.600000,,2019-08-08,1.581728,,2019-08-08,1.495266,,2019-08-08,1.692217
2019-08-09,4.470121,,2019-08-09,1.563000,,2019-08-09,1.565480,,2019-08-09,1.493160,,2019-08-09,1.692687
2019-08-12,4.570837,,2019-08-12,1.578000,,2019-08-12,1.602281,,2019-08-12,1.508955,,2019-08-12,1.693470
2019-08-13,4.543980,,2019-08-13,1.566000,,2019-08-13,1.590338,,2019-08-13,1.510008,,2019-08-13,1.694410
2019-08-14,4.554387,,2019-08-14,1.586000,,2019-08-14,1.609224,,2019-08-14,1.543704,,2019-08-14,1.695037
2019-08-15,4.542973,,2019-08-15,1.574000,,2019-08-15,1.621167,,2019-08-15,1.543704,,2019-08-15,1.695350
2019-08-16,4.563787,,2019-08-16,1.586000,,2019-08-16,1.626305,,2019-08-16,1.555287,,2019-08-16,1.695663
2019-08-19,4.595345,,2019-08-19,1.595000,,2019-08-19,1.657135,,2019-08-19,1.566870,,2019-08-19,1.696133
2019-08-20,4.593666,,2019-08-20,1.593000,,2019-08-20,1.658523,,2019-08-20,1.570029,,2019-08-20,1.696447
2019-08-21,4.574530,,2019-08-21,1.585000,,2019-08-21,1.670883,,2019-08-21,1.553181,,2019-08-21,1.696760
2019-08-22,4.582923,,2019-08-22,1.602000,,2019-08-22,1.673521,,2019-08-22,1.567923,,2019-08-22,1.696760
2019-08-23,4.609445,,2019-08-23,1.594000,,2019-08-23,1.691019,,2019-08-23,1.618467,,2019-08-23,1.695820
2019-08-26,4.592659,,2019-08-26,1.594000,,2019-08-26,1.673382,,2019-08-26,1.616361,,2019-08-26,1.696290
2019-08-27,4.674239,,2019-08-27,1.637000,,2019-08-27,1.701712,,2019-08-27,1.622679,,2019-08-27,1.696133
2019-08-28,4.710497,,2019-08-28,1.669000,,2019-08-28,1.700740,,2019-08-28,1.616361,,2019-08-28,1.695977
2019-08-29,4.708483,,2019-08-29,1.664000,,2019-08-29,1.703934,,2019-08-29,1.612149,,2019-08-29,1.695977
2019-08-30,4.694718,,2019-08-30,1.650000,,2019-08-30,1.706572,,2019-08-30,1.622679,,2019-08-30,1.695820
2019-09-02,4.757834,,2019-09-02,1.661000,,2019-09-02,1.739207,,2019-09-02,1.652163,,2019-09-02,1.696133
2019-09-03,4.785363,,2019-09-03,1.662000,,2019-09-03,1.742540,,2019-09-03,1.643739,,2019-09-03,1.696133
2019-09-04,4.763205,,2019-09-04,1.655000,,2019-09-04,1.738512,,2019-09-04,1.641633,,2019-09-04,1.696447
2019-09-05,4.805842,,2019-09-05,1.662000,,2019-09-05,1.758510,,2019-09-05,1.630050,,2019-09-05,1.697700
2019-09-06,4.794092,,2019-09-06,1.634000,,2019-09-06,1.742956,,2019-09-06,1.640580,,2019-09-06,1.698170
2019-09-09,4.863250,,2019-09-09,1.634000,,2019-09-09,1.751983,,2019-09-09,1.645845,,2019-09-09,1.698797
2019-09-10,4.859221,,2019-09-10,1.637000,,2019-09-10,1.741151,,2019-09-10,1.660587,,2019-09-10,1.698640
2019-09-11,4.787713,,2019-09-11,1.608000,,2019-09-11,1.712405,,2019-09-11,1.624785,,2019-09-11,1.698640
2019-09-12,4.798456,,2019-09-12,1.616000,,2019-09-12,1.725875,,2019-09-12,1.631103,,2019-09-12,1.698013
2019-09-16,4.800806,,2019-09-16,1.619000,,2019-09-16,1.735874,,2019-09-16,1.631103,,2019-09-16,1.698327
2019-09-17,4.767234,,2019-09-17,1.602000,,2019-09-17,1.712682,,2019-09-17,1.624785,,2019-09-17,1.698327
2019-09-18,4.792077,,2019-09-18,1.612000,,2019-09-18,1.732541,,2019-09-18,1.659534,,2019-09-18,1.697857
2019-09-19,4.845793,,2019-09-19,1.630000,,2019-09-19,1.746567,,2019-09-19,1.679541,,2019-09-19,1.697857
2019-09-20,4.858886,,2019-09-20,1.629000,,2019-09-20,1.757954,,2019-09-20,1.693230,,2019-09-20,1.697857
2019-09-23,4.826657,,2019-09-23,1.608000,,2019-09-23,1.744900,,2019-09-23,1.676382,,2019-09-23,1.698170
2019-09-24,4.854857,,2019-09-24,1.603000,,2019-09-24,1.764064,,2019-09-24,1.718503,,2019-09-24,1.698013
2019-09-25,4.818935,,2019-09-25,1.599000,,2019-09-25,1.742817,,2019-09-25,1.722715,,2019-09-25,1.698170
2019-09-26,4.706133,,2019-09-26,1.549000,,2019-09-26,1.716571,,2019-09-26,1.709025,,2019-09-26,1.697857
2019-09-27,4.757834,,2019-09-27,1.561000,,2019-09-27,1.736568,,2019-09-27,1.713238,,2019-09-27,1.698327
2019-09-30,4.743062,,2019-09-30,1.579000,,2019-09-30,1.714488,,2019-09-30,1.723768,,2019-09-30,1.699110
2019-10-08,4.782341,,2019-10-08,1.608000,,2019-10-08,1.714210,,2019-10-08,1.739563,,2019-10-08,1.700833
2019-10-09,4.804163,,2019-10-09,1.610000,,2019-10-09,1.721987,,2019-10-09,1.732192,,2019-10-09,1.700676
2019-10-10,4.919315,,2019-10-10,1.651000,,2019-10-10,1.766703,,2019-10-10,1.805902,,2019-10-10,1.700676
2019-10-11,4.952552,,2019-10-11,1.657000,,2019-10-11,1.774063,,2019-10-11,1.813273,,2019-10-11,1.700990
2019-10-14,4.965645,,2019-10-14,1.671000,,2019-10-14,1.784617,,2019-10-14,1.812220,,2019-10-14,1.701460
2019-10-15,4.910587,,2019-10-15,1.670000,,2019-10-15,1.777812,,2019-10-15,1.813273,,2019-10-15,1.701460
2019-10-16,4.902529,,2019-10-16,1.661000,,2019-10-16,1.760037,,2019-10-16,1.849075,,2019-10-16,1.701616
2019-10-17,4.929723,,2019-10-17,1.677000,,2019-10-17,1.781701,,2019-10-17,1.852234,,2019-10-17,1.701933
2019-10-18,4.914951,,2019-10-18,1.682000,,2019-10-18,1.769064,,2019-10-18,1.849075,,2019-10-18,1.701933
2019-10-21,4.892458,,2019-10-21,1.692000,,2019-10-21,1.765175,,2019-10-21,1.804849,,2019-10-21,1.702409
2019-10-22,4.950202,,2019-10-22,1.716000,,2019-10-22,1.784478,,2019-10-22,1.829068,,2019-10-22,1.702567
2019-10-23,4.901858,,2019-10-23,1.700000,,2019-10-23,1.770591,,2019-10-23,1.795372,,2019-10-23,1.702409
2019-10-24,4.887422,,2019-10-24,1.688000,,2019-10-24,1.762953,,2019-10-24,1.794319,,2019-10-24,1.702567
2019-10-25,4.956916,,2019-10-25,1.731000,,2019-10-25,1.795032,,2019-10-25,1.814326,,2019-10-25,1.702567
2019-10-28,5.010296,,2019-10-28,1.759000,,2019-10-28,1.820307,,2019-10-28,1.843810,,2019-10-28,1.703042
2019-10-29,5.023053,,2019-10-29,1.757000,,2019-10-29,1.814474,,2019-10-29,1.863817,,2019-10-29,1.702725
2019-10-30,4.988474,,2019-10-30,1.763000,,2019-10-30,1.805586,,2019-10-30,1.851181,,2019-10-30,1.702250
2019-10-31,4.978738,,2019-10-31,1.748000,,2019-10-31,1.796004,,2019-10-31,1.875400,,2019-10-31,1.701616
2019-11-01,5.012310,,2019-11-01,1.760000,,2019-11-01,1.811697,,2019-11-01,1.909096,,2019-11-01,1.701616
2019-11-04,5.063004,,2019-11-04,1.769000,,2019-11-04,1.831416,,2019-11-04,1.936474,,2019-11-04,1.701933
2019-11-05,5.083819,,2019-11-05,1.778000,,2019-11-05,1.845164,,2019-11-05,1.925944,,2019-11-05,1.702250
2019-11-06,5.038496,,2019-11-06,1.760000,,2019-11-06,1.830305,,2019-11-06,1.915414,,2019-11-06,1.702250
2019-11-07,5.057632,,2019-11-07,1.782000,,2019-11-07,1.849747,,2019-11-07,1.929103,,2019-11-07,1.702409
2019-11-08,5.026410,,2019-11-08,1.777000,,2019-11-08,1.842665,,2019-11-08,1.917520,,2019-11-08,1.702725
2019-11-11,4.961616,,2019-11-11,1.760000,,2019-11-11,1.821556,,2019-11-11,1.876453,,2019-11-11,1.703201
2019-11-12,4.983102,,2019-11-12,1.762000,,2019-11-12,1.815307,,2019-11-12,1.895407,,2019-11-12,1.703518
2019-11-13,5.009960,,2019-11-13,1.752000,,2019-11-13,1.837110,,2019-11-13,1.951216,,2019-11-13,1.703835
2019-11-14,5.043196,,2019-11-14,1.767000,,2019-11-14,1.854746,,2019-11-14,1.978595,,2019-11-14,1.703993
2019-11-15,4.999217,,2019-11-15,1.753000,,2019-11-15,1.843220,,2019-11-15,1.958587,,2019-11-15,1.704310
2019-11-18,5.020032,,2019-11-18,1.789000,,2019-11-18,1.853080,,2019-11-18,1.961746,,2019-11-18,1.705102
2019-11-19,5.067033,,2019-11-19,1.823000,,2019-11-19,1.898490,,2019-11-19,2.011238,,2019-11-19,1.705577
2019-11-20,5.032453,,2019-11-20,1.811000,,2019-11-20,1.892658,,2019-11-20,2.012291,,2019-11-20,1.706211
2019-11-21,5.003917,,2019-11-21,1.798000,,2019-11-21,1.880854,,2019-11-21,1.977542,,2019-11-21,1.706686
2019-11-22,4.930730,,2019-11-22,1.775000,,2019-11-22,1.848497,,2019-11-22,1.882771,,2019-11-22,1.706845
2019-11-25,4.908237,,2019-11-25,1.749000,,2019-11-25,1.824750,,2019-11-25,1.853287,,2019-11-25,1.707320
2019-11-26,4.913608,,2019-11-26,1.755000,,2019-11-26,1.841693,,2019-11-26,1.868029,,2019-11-26,1.707479
2019-11-27,4.893465,,2019-11-27,1.745000,,2019-11-27,1.837804,,2019-11-27,1.855393,,2019-11-27,1.707637
2019-11-28,4.888765,,2019-11-28,1.744000,,2019-11-28,1.837665,,2019-11-28,1.866976,,2019-11-28,1.708271
2019-11-29,4.834042,,2019-11-29,1.730000,,2019-11-29,1.821418,,2019-11-29,1.817485,,2019-11-29,1.708271
2019-12-02,4.834042,,2019-12-02,1.738000,,2019-12-02,1.824334,,2019-12-02,1.797478,,2019-12-02,1.708905
2019-12-03,4.851164,,2019-12-03,1.747000,,2019-12-03,1.830028,,2019-12-03,1.792213,,2019-12-03,1.708746
2019-12-04,4.843107,,2019-12-04,1.759000,,2019-12-04,1.839887,,2019-12-04,1.809061,,2019-12-04,1.708746
2019-12-05,4.877350,,2019-12-05,1.777000,,2019-12-05,1.872383,,2019-12-05,1.832227,,2019-12-05,1.708905
2019-12-06,4.904208,,2019-12-06,1.797000,,2019-12-06,1.905017,,2019-12-06,1.848022,,2019-12-06,1.709063
2019-12-09,4.883729,,2019-12-09,1.777000,,2019-12-09,1.890436,,2019-12-09,1.804849,,2019-12-09,1.710014
2019-12-10,4.893801,,2019-12-10,1.769000,,2019-12-10,1.905434,,2019-12-10,1.823803,,2019-12-10,1.710330
2019-12-11,4.892793,,2019-12-11,1.756000,,2019-12-11,1.886964,,2019-12-11,1.821697,,2019-12-11,1.710489
2019-12-12,4.885072,,2019-12-12,1.752000,,2019-12-12,1.881965,,2019-12-12,1.818538,,2019-12-12,1.710330
2019-12-13,4.948859,,2019-12-13,1.779000,,2019-12-13,1.909322,,2019-12-13,1.858552,,2019-12-13,1.710489
2019-12-16,4.963631,,2019-12-16,1.789000,,2019-12-16,1.941401,,2019-12-16,1.858552,,2019-12-16,1.710806
2019-12-17,4.998546,,2019-12-17,1.802000,,2019-12-17,1.950983,,2019-12-17,1.865923,,2019-12-17,1.710806
2019-12-18,4.976724,,2019-12-18,1.801000,,2019-12-18,1.952372,,2019-12-18,1.831174,,2019-12-18,1.711123
2019-12-19,4.967659,,2019-12-19,1.795000,,2019-12-19,1.947789,,2019-12-19,1.820644,,2019-12-19,1.711440
2019-12-20,4.932744,,2019-12-20,1.795000,,2019-12-20,1.933208,,2019-12-20,1.802743,,2019-12-20,1.711756
2019-12-23,4.880708,,2019-12-23,1.774000,,2019-12-23,1.905434,,2019-12-23,1.796425,,2019-12-23,1.712390
2019-12-24,4.918980,,2019-12-24,1.784000,,2019-12-24,1.932514,,2019-12-24,1.801690,,2019-12-24,1.712390
2019-12-25,4.925694,,2019-12-25,1.786000,,2019-12-25,1.943901,,2019-12-25,1.799584,,2019-12-25,1.713341
2019-12-26,4.953895,,2019-12-26,1.791000,,2019-12-26,1.947095,,2019-12-26,1.805902,,2019-12-26,1.713816
2019-12-27,4.979074,,2019-12-27,1.803000,,2019-12-27,1.939457,,2019-12-27,1.795372,,2019-12-27,1.713816
2019-12-30,5.025403,,2019-12-30,1.815000,,2019-12-30,1.963759,,2019-12-30,1.796425,,2019-12-30,1.714608
2019-12-31,5.068711,,2019-12-31,1.824000,,2019-12-31,1.971953,,2019-12-31,1.824856,,2019-12-31,1.714450
2020-01-02,5.132834,,2020-01-02,1.876000,,2020-01-02,2.022918,,2020-01-02,1.819591,,2020-01-02,1.715084
2020-01-03,5.134177,,2020-01-03,1.864000,,2020-01-03,2.020835,,2020-01-03,1.805902,,2020-01-03,1.715876
2020-01-06,5.154656,,2020-01-06,1.858000,,2020-01-06,2.022918,,2020-01-06,1.790107,,2020-01-06,1.716826
2020-01-07,5.184199,,2020-01-07,1.897000,,2020-01-07,2.054164,,2020-01-07,1.824856,,2020-01-07,1.716985
2020-01-08,5.143913,,2020-01-08,1.870000,,2020-01-08,2.031528,,2020-01-08,1.819591,,2020-01-08,1.717143
2020-01-09,5.191921,,2020-01-09,1.889000,,2020-01-09,2.071522,,2020-01-09,1.884877,,2020-01-09,1.717619
2020-01-10,5.208707,,2020-01-10,1.876000,,2020-01-10,2.075688,,2020-01-10,1.894354,,2020-01-10,1.719045
2020-01-13,5.281222,,2020-01-13,1.886000,,2020-01-13,2.108878,,2020-01-13,1.911202,,2020-01-13,1.720470
2020-01-14,5.238922,,2020-01-14,1.889000,,2020-01-14,2.107906,,2020-01-14,1.890142,,2020-01-14,1.720946
2020-01-15,5.234557,,2020-01-15,1.877000,,2020-01-15,2.107906,,2020-01-15,1.920679,,2020-01-15,1.720946
2020-01-16,5.251679,,2020-01-16,1.887000,,2020-01-16,2.109156,,2020-01-16,1.952269,,2020-01-16,1.721106
2020-01-17,5.257050,,2020-01-17,1.881000,,2020-01-17,2.116933,,2020-01-17,1.977542,,2020-01-17,1.721586
2020-01-20,5.300023,,2020-01-20,1.882000,,2020-01-20,2.145540,,2020-01-20,2.018609,,2020-01-20,1.722708
2020-01-21,5.218107,,2020-01-21,1.850000,,2020-01-21,2.139846,,2020-01-21,2.020715,,2020-01-21,1.722868
2020-01-22,5.271822,,2020-01-22,1.857000,,2020-01-22,2.175258,,2020-01-22,2.021768,,2020-01-22,1.723348
2020-01-23,5.111012,,2020-01-23,1.795000,,2020-01-23,2.135958,,2020-01-23,1.964905,,2020-01-23,1.723508
2020-02-03,4.783684,,2020-02-03,1.662000,,2020-02-03,1.994866,,2020-02-03,1.870135,,2020-02-03,1.729595
2020-02-04,4.947852,,2020-02-04,1.743000,,2020-02-04,2.106934,,2020-02-04,1.945951,,2020-02-04,1.729595
2020-02-05,4.987802,,2020-02-05,1.770000,,2020-02-05,2.135125,,2020-02-05,1.971223,,2020-02-05,1.730075
2020-02-06,5.068375,,2020-02-06,1.839000,,2020-02-06,2.207059,,2020-02-06,2.038616,,2020-02-06,1.731036
2020-02-07,5.089190,,2020-02-07,1.856000,,2020-02-07,2.230112,,2020-02-07,2.016503,,2020-02-07,1.731997
2020-02-10,5.140891,,2020-02-10,1.927000,,2020-02-10,2.230667,,2020-02-10,2.025980,,2020-02-10,1.733438
2020-02-11,5.170435,,2020-02-11,1.916000,,2020-02-11,2.225251,,2020-02-11,2.040722,,2020-02-11,1.733919
2020-02-12,5.207028,,2020-02-12,1.941000,,2020-02-12,2.264413,,2020-02-12,2.077577,,2020-02-12,1.734560
2020-02-13,5.159020,,2020-02-13,1.921000,,2020-02-13,2.240249,,2020-02-13,2.059676,,2020-02-13,1.735360
2020-02-14,5.185878,,2020-02-14,1.940000,,2020-02-14,2.234833,,2020-02-14,2.072312,,2020-02-14,1.735681
2020-02-17,5.333595,,2020-02-17,1.970000,,2020-02-17,2.287465,,2020-02-17,2.126015,,2020-02-17,1.736321
2020-02-18,5.349709,,2020-02-18,1.970000,,2020-02-18,2.298436,,2020-02-18,2.116538,,2020-02-18,1.736962
2020-02-19,5.355081,,2020-02-19,1.960000,,2020-02-19,2.272745,,2020-02-19,2.083895,,2020-02-19,1.737603
2020-02-20,5.433975,,2020-02-20,1.986000,,2020-02-20,2.312184,,2020-02-20,2.110220,,2020-02-20,1.738083
2020-02-21,5.475269,,2020-02-21,1.989000,,2020-02-21,2.341208,,2020-02-21,2.127068,,2020-02-21,1.738884
2020-02-24,5.567928,,2020-02-24,2.008000,,2020-02-24,2.348707,,2020-02-24,2.138651,,2020-02-24,1.740486
2020-02-25,5.632050,,2020-02-25,2.020000,,2020-02-25,2.365371,,2020-02-25,2.158658,,2020-02-25,1.741126
2020-02-26,5.444383,,2020-02-26,1.998000,,2020-02-26,2.262885,,2020-02-26,2.098637,,2020-02-26,1.741607
2020-02-27,5.487019,,2020-02-27,2.050000,,2020-02-27,2.273717,,2020-02-27,2.132333,,2020-02-27,1.742728
2020-02-28,5.302708,,2020-02-28,1.979000,,2020-02-28,2.198727,,2020-02-28,2.077577,,2020-02-28,1.743208
2020-03-02,5.485676,,2020-03-02,2.028000,,2020-03-02,2.246498,,2020-03-02,2.118644,,2020-03-02,1.743529
2020-03-03,5.502127,,2020-03-03,2.043000,,2020-03-03,2.268440,,2020-03-03,2.172347,,2020-03-03,1.743849
2020-03-04,5.505484,,2020-03-04,2.078000,,2020-03-04,2.257608,,2020-03-04,2.182877,,2020-03-04,1.745290
2020-03-05,5.585721,,2020-03-05,2.144000,,2020-03-05,2.292187,,2020-03-05,2.234474,,2020-03-05,1.745931
2020-03-06,5.547113,,2020-03-06,2.138000,,2020-03-06,2.274272,,2020-03-06,2.240793,,2020-03-06,1.747853
2020-03-09,5.420546,,2020-03-09,2.096000,,2020-03-09,2.177619,,2020-03-09,2.198672,,2020-03-09,1.751056
2020-03-10,5.528649,,2020-03-10,2.110000,,2020-03-10,2.229417,,2020-03-10,2.193407,,2020-03-10,1.749455
2020-03-11,5.472583,,2020-03-11,2.098000,,2020-03-11,2.197755,,2020-03-11,2.159711,,2020-03-11,1.749615
2020-03-12,5.380931,,2020-03-12,2.046000,,2020-03-12,2.151095,,2020-03-12,2.088107,,2020-03-12,1.749134
2020-03-13,5.328223,,2020-03-13,2.048000,,2020-03-13,2.135402,,2020-03-13,2.050199,,2020-03-13,1.747853
2020-03-16,5.075090,,2020-03-16,1.956000,,2020-03-16,2.030139,,2020-03-16,1.955428,,2020-03-16,1.747212
2020-03-17,5.005596,,2020-03-17,1.946000,,2020-03-17,2.034861,,2020-03-17,1.953322,,2020-03-17,1.745451
2020-03-18,4.927708,,2020-03-18,1.949000,,2020-03-18,2.019585,,2020-03-18,1.938580,,2020-03-18,1.745290
2020-03-19,4.944830,,2020-03-19,1.950000,,2020-03-19,2.016113,,2020-03-19,1.900672,,2020-03-19,1.744970
2020-03-20,4.988138,,2020-03-20,1.990000,,2020-03-20,2.046665,,2020-03-20,1.963852,,2020-03-20,1.745931
2020-03-23,4.826992,,2020-03-23,1.917000,,2020-03-23,1.972925,,2020-03-23,1.918573,,2020-03-23,1.747373
2020-03-24,4.921665,,2020-03-24,1.969000,,2020-03-24,2.011253,,2020-03-24,1.974383,,2020-03-24,1.748013
2020-03-25,5.049911,,2020-03-25,2.024000,,2020-03-25,2.073050,,2020-03-25,2.051252,,2020-03-25,1.748494
2020-03-26,5.024732,,2020-03-26,2.046000,,2020-03-26,2.074300,,2020-03-26,2.087054,,2020-03-26,1.749455
2020-03-27,5.031782,,2020-03-27,2.040000,,2020-03-27,2.068051,,2020-03-27,2.098637,,2020-03-27,1.749775
2020-03-30,4.963966,,2020-03-30,2.019000,,2020-03-30,2.043471,,2020-03-30,2.059676,,2020-03-30,1.749775
2020-03-31,5.014996,,2020-03-31,2.073000,,2020-03-31,2.069717,,2020-03-31,2.108114,,2020-03-31,1.750576
2020-04-01,5.001903,,2020-04-01,2.068000,,2020-04-01,2.061801,,2020-04-01,2.078630,,2020-04-01,1.751377
2020-04-02,5.077440,,2020-04-02,2.078000,,2020-04-02,2.104157,,2020-04-02,2.103902,,2020-04-02,1.751697
2020-04-03,5.025067,,2020-04-03,2.076000,,2020-04-03,2.092214,,2020-04-03,2.119697,,2020-04-03,1.752017
2020-04-07,5.149620,,2020-04-07,2.129000,,2020-04-07,2.149151,,2020-04-07,2.181824,,2020-04-07,1.757142
2020-04-08,5.156334,,2020-04-08,2.107000,,2020-04-08,2.134153,,2020-04-08,2.169188,,2020-04-08,1.758744
2020-04-09,5.190578,,2020-04-09,2.136000,,2020-04-09,2.154150,,2020-04-09,2.266065,,2020-04-09,1.758424
2020-04-10,5.139212,,2020-04-10,2.108000,,2020-04-10,2.119016,,2020-04-10,2.233421,,2020-04-10,1.758904
2020-04-13,5.098255,,2020-04-13,2.098000,,2020-04-13,2.101796,,2020-04-13,2.249217,,2020-04-13,1.758264
2020-04-14,5.201657,,2020-04-14,2.144000,,2020-04-14,2.156927,,2020-04-14,2.287125,,2020-04-14,1.758426
2020-04-15,5.172449,,2020-04-15,2.132000,,2020-04-15,2.149428,,2020-04-15,2.258694,,2020-04-15,1.759398
2020-04-16,5.188228,,2020-04-16,2.157000,,2020-04-16,2.167343,,2020-04-16,2.277648,,2020-04-16,1.760695
2020-04-17,5.224486,,2020-04-17,2.174000,,2020-04-17,2.188173,,2020-04-17,2.267118,,2020-04-17,1.760695
2020-04-20,5.286930,,2020-04-20,2.197000,,2020-04-20,2.209420,,2020-04-20,2.300814,,2020-04-20,1.760695
2020-04-21,5.249665,,2020-04-21,2.184000,,2020-04-21,2.190395,,2020-04-21,2.286072,,2020-04-21,1.761181
2020-04-22,5.277529,,2020-04-22,2.240000,,2020-04-22,2.218447,,2020-04-22,2.332404,,2020-04-22,1.761991
2020-04-23,5.277865,,2020-04-23,2.231000,,2020-04-23,2.215253,,2020-04-23,2.335563,,2020-04-23,1.763126
2020-04-24,5.220457,,2020-04-24,2.217000,,2020-04-24,2.197477,,2020-04-24,2.291337,,2020-04-24,1.764098
2020-04-27,5.223814,,2020-04-27,2.227000,,2020-04-27,2.200671,,2020-04-27,2.337669,,2020-04-27,1.764260
